Call_ID,Transcript_Text,Category,Keywords_Found,asks_for_otp,asks_for_email_password,asks_to_click_link,asks_remote_access,uses_urgency,claims_authority,has_email,has_otp_like_number,Label
C030,Aapko ek free credit card mil raha hai. Activation ke liye bas apna PAN number bata dijiye.,Loan_Credit_Scam,"loan,pan",0,0,0,0,0,0,0,0,1
C031,"Welcome to XYZ Bank. To know your account balance, press 1. For other services, press 2.",Legit_Call,"bank,account balance",0,0,0,0,0,0,0,0,0
C032,"Sir, a transaction of Rs. 20,000 is pending. Please share OTP 5432 to approve it.",Banking_Fraud,"rs,otp,share otp",1,0,0,0,0,1,0,1,1
C033,"Apka Facebook account hack ho gaya hai. Email aur password do, main theek kar deta hu.",Tech_Support_Scam,"email,password",0,1,0,0,0,1,1,0,1
C034,Your number has been selected for a government subsidy of Rs. 5000. Click the link to apply.,Prize_Lottery_Scam,"rs,click link",0,0,1,0,0,1,0,0,1
C035,"Mera naam Ramesh hai, main aapke papa ka colleague hu. Unka accident ho gaya hai, jaldi se paise transfer karo.",Social_Engineering,urgent,0,0,0,0,1,0,0,0,1
C036,"An OTP for your recent transaction is 7788. Please remember, we will never ask you for this OTP.",Legit_Call,otp,0,0,0,0,0,0,0,1,0
C037,"Income tax department se notice hai. Penalty se bachne ke liye, is number par call back karein.",Threat_Legal,legal notice,0,0,0,0,1,1,0,0,1
C038,"Sir, I am calling from Google Pay. You have a pending refund. Open the app and I will guide you.",UPI_Payment_Scam,refund,0,0,1,0,0,1,0,0,1
C039,Your electricity connection will be cut tonight due to a pending bill. Verify details now to stop it.,Threat_Legal,urgent,0,0,0,0,1,1,0,0,1
C040,We are providing personal loans at 0% interest. Provide your bank details for instant approval.,Loan_Credit_Scam,loan approved,0,0,0,0,0,0,0,0,1
C041,Your package delivery failed. Please reschedule by clicking the link in the text message.,Legit_Call,package delivery,0,0,0,0,0,0,0,0,0
C042,"Sir aapne KBC me Rs. 25 Lakh jeete hain. Manager se baat karne ke liye, WhatsApp pe message karein.",Prize_Lottery_Scam,"won,rs,click link",0,0,1,0,0,0,0,0,1
C043,"Your account is suspended due to unusual activity. To unsuspend, share the code 112233.",Banking_Fraud,"account suspended,otp",1,0,0,0,1,1,0,1,1
C044,"Mummy, my phone is broken, this is my new number. Please send Rs. 5000 for the repair urgently.",Social_Engineering,"rs,urgent",0,0,0,0,1,0,0,0,1
C045,This is to inform you that your mobile recharge of Rs. 299 was successful.,Legit_Call,recharge,0,0,0,0,0,0,0,0,0
C046,You have received a payment request on PhonePe for Rs. 1000. Pay now to receive cashback of Rs. 2000.,UPI_Payment_Scam,"phonepe,rs",0,0,1,0,0,0,0,0,1
C047,"Bhaiya, aapke number par galti se recharge ho gaya hai. Please woh paise wapas bhej do.",Social_Engineering,recharge,0,0,0,0,0,0,0,0,1
C048,Your application for a new credit card has been received. Our agent will contact you for verification.,Legit_Call,loan,0,0,0,0,0,0,0,0,0
C049,"Sir, your SIM card will be blocked in 24 hours. Please complete your e-KYC by sharing the OTP sent.",Banking_Fraud,"account blocked,otp",1,0,0,0,1,1,0,0,1
C050,Your computer has been locked due to a virus. Call this number and pay Rs. 3000 to unlock it.,Tech_Support_Scam,"virus,rs",0,0,0,0,1,1,0,0,1
C051,Your scheduled cab has arrived at your location. The OTP for the ride is 4321.,Legit_Call,otp,0,0,0,0,0,0,0,1,0
C052,"There is a police case filed against your mobile number. To avoid arrest, verify your details immediately.",Threat_Legal,"police complaint,urgent",0,0,0,0,1,1,0,0,1
C053,We need remote access to your laptop to install the new software update. Please install AnyDesk now.,Tech_Support_Scam,"remote access,anydesk",0,0,0,1,0,1,0,0,1
C054,"Sir, you have an unclaimed refund of Rs. 8,450. Please share your UPI ID to receive the money.",UPI_Payment_Scam,"refund,rs,upi",0,0,0,0,0,0,0,0,1
C055,Congratulations! You've been selected for a free international trip. Click this link to provide your details.,Prize_Lottery_Scam,"won,click link",0,0,1,0,0,0,0,0,1
C056,"Hello, can I speak to Mr. Sharma regarding his home loan application? This is from the bank.",Legit_Call,loan,0,0,0,0,0,1,0,0,0
C057,"Hello, I am calling from your child's school. There is an emergency, please transfer fees immediately.",Social_Engineering,urgent,0,0,0,0,1,0,0,0,1
C058,Your credit score is low. We can fix it for a small fee. Just share your Aadhaar and PAN details.,Loan_Credit_Scam,"aadhaar,pan",0,0,0,0,0,0,0,0,1
C059,Your Amazon account has been hacked. Share your login and password with me to recover it.,Tech_Support_Scam,"login,password",0,1,0,0,0,1,0,0,1
C060,A court summon has been issued for you. It is attached in the email. Click the link to view.,Threat_Legal,"legal notice,email,click link",0,0,1,0,0,1,1,0,1
C061,"The OTP for your password reset is 9090. If this wasn't you, please secure your account immediately.",Legit_Call,"otp,password",0,0,0,0,0,0,0,1,0
C062,"We are closing old bank accounts. To keep your account active, please verify your details and OTP.",Banking_Fraud,"otp,verify otp",1,0,0,0,0,1,0,0,1
C063,"You've won a cash prize in our contest. To claim it, scan the QR code we sent you on WhatsApp.",Prize_Lottery_Scam,"won,claim prize,click link",0,0,1,0,0,0,0,0,1
C064,"A suspicious charge of Rs. 15,000 was detected. Share the code 876543 to cancel it right now.",Banking_Fraud,"rs,otp",1,0,0,0,1,1,0,1,1
C065,Your insurance policy is about to lapse. Pay the premium now to continue coverage.,Legit_Call,insurance,0,0,0,0,0,0,0,0,0
C066,Maine aapko PhonePe par galti se Rs. 5000 bhej diye. Please check karke wapas UPI kar dijiye.,UPI_Payment_Scam,"phonepe,rs,upi",0,0,0,0,0,0,0,0,1
C067,"Sir, I am your new bank manager. Please share your account details for our records.",Social_Engineering,claims_authority,0,0,0,0,0,1,0,0,1
C068,There is a legal complaint regarding your property tax. Settle it online through this link to avoid action.,Threat_Legal,"legal notice,click link",0,0,1,0,1,1,0,0,1
C069,Your loan EMI is overdue. Please pay immediately to avoid a penalty.,Legit_Call,"loan emi,urgent",0,0,0,0,1,0,0,0,0
C070,Get a loan of up to Rs. 5 Lakhs without any documents. Just tell me your mobile number and OTP.,Loan_Credit_Scam,"loan approved,otp",1,0,0,0,0,0,0,0,1
C071,Your monthly mutual fund SIP deduction of Rs. 5000 has been processed successfully.,Legit_Call,rs,0,0,0,0,0,0,0,0,0
C072,We have detected that your email account is sending spam. Let us scan your computer with TeamViewer.,Tech_Support_Scam,"email,teamviewer,remote access",0,0,0,1,0,1,1,0,1
C073,You've received a gift voucher worth Rs. 2000. Enter your UPI PIN on this page to redeem it.,Prize_Lottery_Scam,"rs,upi,click link",0,0,1,0,0,0,0,0,1
C074,Aapka credit card bill payment received ho gaya hai. Thank you for your timely payment.,Legit_Call,loan,0,0,0,0,0,0,0,0,0
C075,"Your phone is infected with malware. To clean it, click the verification link sent to your SMS.",Tech_Support_Scam,"verification link,click link",0,0,1,0,0,1,0,0,1
C076,A warrant has been issued in your name from Delhi court. Contact this number immediately to resolve.,Threat_Legal,"legal notice,urgent",0,0,0,0,1,1,0,0,1
C077,Aapka Netflix subscription expire ho raha hai. Update your payment details on this link.,Social_Engineering,click link,0,0,1,0,1,0,0,0,1
C078,This is a confirmation for your flight ticket booking. Your seat is confirmed.,Legit_Call,booking,0,0,0,0,0,0,0,0,0
C079,"Sir, to activate your new debit card, please tell me the 16-digit number and the CVV.",Banking_Fraud,debit card,0,0,0,0,0,1,0,0,1
C080,We are offering a lifetime free credit card. Provide your Aadhaar number for verification.,Loan_Credit_Scam,"loan,aadhaar",0,0,0,0,0,0,0,0,1
C081,"To process your GST refund, we need you to install AnyDesk so we can guide you.",Tech_Support_Scam,"refund,anydesk,remote access",0,0,0,1,0,1,0,0,1
C082,This call is regarding your car insurance renewal. Our executive will visit you for document collection.,Legit_Call,insurance,0,0,0,0,0,0,0,0,0
C083,"To receive your lucky draw prize of Rs. 50,000, please send us a selfie with your PAN card.",Prize_Lottery_Scam,"won,rs,pan",0,0,0,0,0,0,0,0,1
C084,I am from the cyber crime cell. We have tracked illegal activity from your IP. Share details to cooperate.,Threat_Legal,police complaint,0,0,0,0,1,1,0,0,1
C085,"Did you request to block your credit card? If not, share the OTP 1122 to cancel the request.",Banking_Fraud,"account blocked,otp",1,0,0,0,1,1,0,1,1
C086,"Hi, this is your friend Rahul. I lost my wallet and phone. Can you UPI Rs. 3000 to this number?",Social_Engineering,"upi,rs,urgent",0,0,0,0,1,0,0,0,1
C087,Your order from Myntra has been shipped and will be delivered within 3 working days.,Legit_Call,order,0,0,0,0,0,0,0,0,0
C088,Pay your pending loan EMI of Rs. 4500 on this link to get a special discount.,Loan_Credit_Scam,"loan emi,rs,click link",0,0,1,0,0,0,0,0,1
C089,"Sir aapke UPI account se paisa debit ho raha hai. Cancel karne ke liye, 6-digit code bataiye.",UPI_Payment_Scam,"upi,otp",1,0,0,0,1,1,0,0,1
C090,Aapke paas ek legal notice bheja gaya hai on your email. Check karke fine pay kijiye.,Threat_Legal,"legal notice,email",0,0,0,0,0,1,1,0,1
C091,Your new cheque book has been dispatched and will reach you in 5-7 business days.,Legit_Call,bank,0,0,0,0,0,0,0,0,0
C092,"To double your cashback on PhonePe, just forward the SMS you received to this number.",UPI_Payment_Scam,phonepe,0,0,0,0,0,0,0,0,1
C093,"Congratulations sir, you are eligible for a zero-fee loan. Share your bank statement to proceed.",Loan_Credit_Scam,loan approved,0,0,0,0,0,0,0,0,1
C094,"Your account has won a prize. To verify, please state your mother's maiden name from our records.",Social_Engineering,"won,verify otp",0,0,0,0,0,1,0,0,1
C095,"To unblock your credit card, please visit the link sent to you via SMS and enter your details.",Banking_Fraud,"account blocked,click link",0,0,1,0,1,1,0,0,1
C096,This is an automated call to remind you about your water bill payment. The due date is today.,Legit_Call,"reminder,urgent",0,0,0,0,1,0,0,0,0
C097,We found a security flaw in your online banking. Please share your login and password to fix it.,Tech_Support_Scam,"login,password",0,1,0,0,0,1,0,0,1
C098,You have a pending traffic challan of Rs. 1000. Pay via this link to avoid court summon.,Threat_Legal,"rs,click link,legal notice",0,0,1,0,1,1,0,0,1
C099,Aapne ek free holiday package jeeta hai. Bas ek chota sa survey complete kijiye is link par.,Prize_Lottery_Scam,"won,click link",0,0,1,0,0,0,0,0,1
C100,Your request for a new SIM card has been processed. Your current SIM will stop working in 4 hours.,Legit_Call,sim,0,0,0,0,1,0,0,0,0
C101,"Aapka bijli bill baaki hai, aaj raat connection cut ho jayega. Turant is number par payment kijiye.",Threat_Legal,urgent,0,0,0,0,1,1,0,0,1
C102,I am calling from Microsoft support. Your Windows license has expired. Give me remote access to renew.,Tech_Support_Scam,"remote access,anydesk",0,0,0,1,0,1,0,0,1
C103,"Your current account balance is Rs. 12,540. Thank you for using our banking services.",Legit_Call,"account balance,rs",0,0,0,0,0,0,0,0,0
C104,"Sir, you have received a cashback of Rs. 500 on PhonePe. Click this link to transfer it to your account.",UPI_Payment_Scam,"rs,phonepe,click link",0,0,1,0,0,0,0,0,1
C105,I am your bank manager. Your ATM card is being upgraded. Please provide your old card number and CVV.,Banking_Fraud,pan,0,0,0,0,0,1,0,0,1
C106,"Hello, I am calling about your job application. We have an opening. Are you available for an interview?",Legit_Call,interview,0,0,0,0,0,0,0,0,0
C107,"Mera naam Sunita hai, aapki padosi. Mujhe urgent 2000 rupaye chahiye, main shaam ko lauta dungi.",Social_Engineering,"rs,urgent",0,0,0,0,1,0,0,0,1
C108,"Your car loan application has been pre-approved for Rs. 5,00,000. Share PAN to proceed.",Loan_Credit_Scam,"loan approved,rs,pan",0,0,0,0,0,0,0,0,1
C109,"We have found a virus on your phone. To remove it, please tell me your Gmail password for verification.",Tech_Support_Scam,"virus,gmail,password",0,1,0,0,0,1,1,0,1
C110,This is an important message from the court. A legal notice has been issued. Call back immediately.,Threat_Legal,"legal notice,urgent",0,0,0,0,1,1,0,0,1
C111,Your order #88921 has been delivered. We hope you enjoy your purchase.,Legit_Call,order,0,0,0,0,0,0,0,0,0
C112,"Congratulations! Your mobile number has won a Rs. 1,00,000 lottery. Pay Rs. 1500 tax to claim it.",Prize_Lottery_Scam,"won,rs,claim prize",0,0,0,0,0,0,0,0,1
C113,Aapke naam par ek parcel aaya hai custom mein. Rs. 5000 pay karke chhudwa lijiye.,Social_Engineering,rs,0,0,0,0,0,1,0,0,1
C114,"To get a free credit card, just confirm the OTP 4545 we just sent you.",Loan_Credit_Scam,"loan,otp",1,0,0,0,0,0,0,1,1
C115,"A transaction of Rs. 500 was made from your card. If this was not you, please let us know.",Legit_Call,rs,0,0,0,0,0,0,0,0,0
C116,"This is the fraud department. A suspicious transaction has occurred. To cancel it, share the OTP 987654.",Banking_Fraud,"otp,share otp",1,0,0,0,1,1,0,1,1
C117,"Hello, you have received a payment of Rs. 2000 on Paytm. Please send Rs. 10 to confirm your account.",UPI_Payment_Scam,"rs,paytm",0,0,0,0,0,0,0,0,1
C118,"Sir, your internet speed is very slow. Let me take remote control with TeamViewer to fix it.",Tech_Support_Scam,"remote access,teamviewer",0,0,0,1,0,1,0,0,1
C119,Remember to keep your password and OTP confidential. Our bank representatives will never ask for them.,Legit_Call,"password,otp",0,0,0,0,0,0,0,0,0
C120,There is a problem with your Aadhaar card. It will be deactivated if you don't share verification code.,Threat_Legal,"aadhaar,otp",1,0,0,0,1,1,0,0,1
C121,Your gas cylinder booking is confirmed. Delivery is scheduled for tomorrow between 10 AM and 2 PM.,Legit_Call,booking,0,0,0,0,0,0,0,0,0
C122,"Apka credit score bahut kharab hai. Hum use theek kar denge, bas 1000 rupaye service charge lagega.",Loan_Credit_Scam,rs,0,0,0,0,0,0,0,0,1
C123,"Sir, I am calling from the police station. Your son has been in an accident. Transfer money for hospital bills.",Social_Engineering,"police complaint,rs,urgent",0,0,0,0,1,1,0,0,1
C124,Aapko hamari company ki taraf se free gift mila hai. Delivery ke liye is link par apna address confirm karein.,Prize_Lottery_Scam,"won,click link",0,0,1,0,0,0,0,0,1
C125,"Hello, your table reservation for two at 8 PM tonight is confirmed.",Legit_Call,booking,0,0,0,0,0,0,0,0,0
C126,Your bank account is not linked with PAN. Account will be suspended in 24 hours. Verify with OTP now.,Banking_Fraud,"account suspended,pan,otp,verify otp",1,0,0,0,1,1,0,0,1
C127,"You have an income tax refund of Rs. 15,000. Click the link to get the amount credited to your account.",Threat_Legal,"refund,rs,click link",0,0,1,0,0,1,0,0,1
C128,"Sir, aapka Google Pay account update karna hai. Screen sharing karke instructions follow kijiye.",UPI_Payment_Scam,remote access,0,0,0,1,0,1,0,0,1
C129,This is an automated security alert. A login was detected from a new device.,Legit_Call,login,0,0,0,0,0,0,0,0,0
C130,We found multiple viruses on your computer. Your data is at risk. Pay Rs. 2000 for our antivirus software.,Tech_Support_Scam,"virus,rs",0,0,0,0,1,1,0,0,1
C131,Your loan application is incomplete. Please share your mother's maiden name for verification.,Loan_Credit_Scam,loan,0,0,0,0,0,0,0,0,1
C132,"This is a call from your mobile operator. To continue your service, please recharge immediately.",Legit_Call,recharge,0,0,0,0,1,0,0,0,0
C133,Main aapke pichle office se bol raha hu. Aapka full and final settlement pending hai. Details share kijiye.,Social_Engineering,"full and final settlement,share details",0,0,0,0,0,1,0,0,1
C134,"Aapne ek lucky draw me Rs. 50,000 jeeta hai. Amount lene ke liye diye gaye number par 100 rupaye ka UPI karein.",Prize_Lottery_Scam,"won,rs,upi",0,0,0,0,0,0,0,0,1
C135,"This is to confirm your withdrawal of Rs. 5,000 from the ATM.",Legit_Call,rs,0,0,0,0,0,0,0,0,0
C136,"Your account has been debited by Rs. 20,000. To cancel this transaction, please tell me the OTP 654321.",Banking_Fraud,"rs,otp",1,0,0,0,1,1,0,1,1
C137,We are calling from the cyber security department. Your email has been compromised. Share your password to reset it.,Tech_Support_Scam,"email,password",0,1,0,0,1,1,1,0,1
C138,"Aapke naam se ek FIR darj hui hai. Case khatam karne ke liye, bataye gaye account me paise transfer karein.",Threat_Legal,"police complaint,rs",0,0,0,0,0,1,0,0,1
C139,You have a pending refund request on PhonePe. Please enter your UPI PIN to accept the money.,UPI_Payment_Scam,"refund,phonepe,upi",0,0,1,0,0,0,0,0,1
C140,Your electricity bill for this month is Rs. 850. The due date is the 25th.,Legit_Call,rs,0,0,0,0,0,0,0,0,0
C141,"Sir, a special loan offer for you with zero processing fee. Are you interested?",Loan_Credit_Scam,loan approved,0,0,0,0,0,0,0,0,1
C142,"Main aapki beti ki teacher bol rahi hu. Woh school trip ke liye select hui hai, fees abhi jama kar dijiye.",Social_Engineering,"fees,urgent",0,0,0,0,1,0,0,0,1
C143,Congratulations! You've won a free subscription to our magazine. Confirm your shipping address by clicking the link.,Prize_Lottery_Scam,"won,click link",0,0,1,0,0,0,0,0,1
C144,"This call is to remind you of your upcoming credit card payment. The minimum amount due is Rs. 1,500.",Legit_Call,"loan,rs",0,0,0,0,0,0,0,0,0
C145,"To continue your banking services without interruption, please verify your PAN card by sharing the OTP.",Banking_Fraud,"pan,otp,verify otp",1,0,0,0,0,1,0,0,1
C146,We have detected illegal activity on your internet connection. We will file a police complaint if you don't cooperate.,Threat_Legal,police complaint,0,0,0,0,1,1,0,0,1
C147,Your Facebook account is being used by someone else. Install AnyDesk and let us secure it for you.,Tech_Support_Scam,"anydesk,remote access",0,0,0,1,0,1,0,0,1
C148,Your account verification code is 1212. Never share this code with anyone.,Legit_Call,otp,0,0,0,0,0,0,0,1,0
C149,"To receive Rs. 10,000 cashback on your UPI payment, scan this QR code now.",UPI_Payment_Scam,"rs,upi,click link",0,0,1,0,1,0,0,0,1
C150,"Your personal loan is ready for disbursal. Please transfer Rs. 3,500 as a file charge to this account.",Loan_Credit_Scam,"loan approved,rs",0,0,0,0,0,0,0,0,1
C151,"Aapne ek smartphone jeeta hai. Prize claim karne ke liye, Rs. 1000 ki delivery charges pay karein.",Prize_Lottery_Scam,"won,claim prize,rs",0,0,0,0,0,0,0,0,1
C152,"Sir, main aapke office ke IT department se hu. Aapka password reset karna hai, purana password bataiye.",Social_Engineering,password,0,1,0,0,0,1,0,0,1
C153,We are offering a free credit report check. Please provide your full name and date of birth.,Legit_Call,credit report,0,0,0,0,0,0,0,0,0
C154,"Your SIM will be blocked today. To prevent this, recharge with a special plan using the link we sent.",Threat_Legal,"account blocked,click link",0,0,1,0,1,1,0,0,1
C155,"Your bank is issuing new debit cards. To get yours, please confirm your address and share the OTP.",Banking_Fraud,"debit card,otp",1,0,0,0,0,1,0,0,1
C156,"Hello, I'm calling from the census department for a quick survey. It will only take two minutes.",Legit_Call,survey,0,0,0,0,0,1,0,0,0
C157,Your computer's IP address has been compromised. Please allow us remote access to diagnose the issue.,Tech_Support_Scam,remote access,0,0,0,1,0,1,0,0,1
C158,"Aapko GPay se 500 rupaye ka scratch card mila hai. Scratch karke, paise lene ke liye apna PIN enter karein.",UPI_Payment_Scam,"rs,upi,click link",0,0,1,0,0,0,0,0,1
C159,Your car is due for its annual service. Would you like to schedule an appointment?,Legit_Call,service,0,0,0,0,0,0,0,0,0
C160,"Bhai, main tera dost bol raha hu. Mera wallet chori ho gaya, train ticket ke liye 1500 rupaye bhej de.",Social_Engineering,"rs,urgent",0,0,0,0,1,0,0,0,1
C161,"Your loan of Rs. 2,00,000 has been sanctioned. Please share your account number to receive the funds.",Loan_Credit_Scam,"loan approved,rs",0,0,0,0,0,0,0,0,1
C162,A legal notice has been sent to your home address for tax evasion. Pay the fine online immediately.,Threat_Legal,"legal notice,urgent",0,0,1,0,1,1,0,0,1
C163,"Your debit card points worth Rs. 2,000 are expiring today. Share OTP 7890 to redeem them now.",Banking_Fraud,"rs,otp,urgent",1,0,0,0,1,1,0,1,1
C164,Welcome to our customer loyalty program. You have earned 500 points on your last purchase.,Legit_Call,points,0,0,0,0,0,0,0,0,0
C165,"You've won a trip to Goa! To confirm your spot, please pay a nominal fee of Rs. 2,500.",Prize_Lottery_Scam,"won,rs",0,0,0,0,0,0,0,0,1
C166,"There is a problem with your email account. To fix it, click this verification link and log in.",Tech_Support_Scam,"email,verification link,click link,login",0,0,1,0,0,1,1,0,1
C167,The OTP to log into your account is 3344. Do not share this with anyone for security reasons.,Legit_Call,"otp,login",0,0,0,0,0,0,0,1,0
C168,"Maine galti se aapko 10,000 rupaye bhej diye hain. Please check your account and return the money.",UPI_Payment_Scam,"rs,refund",0,0,0,0,0,0,0,0,1
C169,"Sir aapko Rs. 5000 ka cashback mila hai. Claim karne ke liye, apna UPI PIN enter kijiye.",UPI_Payment_Scam,"rs,cashback,upi",0,0,1,0,0,0,0,0,1
C170,"This is a confirmation that your payment of Rs. 1,250 towards your electricity bill was successful.",Legit_Call,"rs,payment",0,0,0,0,0,0,0,0,0
C171,"Aapke naam par ek cyber complaint register hui hai. Maamla solve karne ke liye, hamare officer se baat karein.",Threat_Legal,police complaint,0,0,0,0,0,1,0,0,1
C172,"Hello, I am calling from the courier company. Your parcel is held for customs. Please pay Rs. 3000 to release it.",Social_Engineering,rs,0,0,0,0,0,1,0,0,1
C173,Your computer is broadcasting a virus. We need you to install TeamViewer so we can clean it immediately.,Tech_Support_Scam,"virus,teamviewer,remote access,urgent",0,0,0,1,1,1,0,0,1
C174,Your credit card upgrade is ready. Just confirm the OTP 3456 to get a higher limit.,Loan_Credit_Scam,"loan,otp",1,0,0,0,0,0,0,1,1
C175,Your KYC is expiring. Your account will be blocked tomorrow if you do not share the OTP with us now.,Banking_Fraud,"kyc,account blocked,otp,urgent",1,0,0,0,1,1,0,0,1
C176,Aapne ek naya mobile phone jeeta hai. Is link par click karke apna address confirm kijiye.,Prize_Lottery_Scam,"won,click link",0,0,1,0,0,0,0,0,1
C177,Your request to change your registered mobile number has been successfully processed.,Legit_Call,mobile number,0,0,0,0,0,0,0,0,0
C178,"Your email storage is full. To get more space, login with your password on this website.",Tech_Support_Scam,"email,password,login,click link",0,1,1,0,0,1,1,0,1
C179,"Sir, main RBI se call kar raha hu. Sabhi purane ATM card band ho rahe hain. Details verify karwaiye.",Banking_Fraud,rbi,0,0,0,0,0,1,0,0,1
C180,"Hello Papa, my phone is not working, this is my friend's number. Please send Rs. 4000 on this UPI.",Social_Engineering,"rs,upi,urgent",0,0,0,0,1,0,0,0,1
C181,"The OTP for your transaction is 8899. For your security, please do not share this OTP with anyone.",Legit_Call,otp,0,0,0,0,0,0,0,1,0
C182,You have received a payment request on Google Pay for Rs. 2000. Accept it to get a refund.,UPI_Payment_Scam,"rs,refund,paytm",0,0,1,0,0,0,0,0,1
C183,There is a legal notice against you for unpaid taxes. Pay immediately to avoid a court case.,Threat_Legal,"legal notice,urgent",0,0,0,0,1,1,0,0,1
C184,Your application for a personal loan has been rejected due to a low credit score.,Legit_Call,loan,0,0,0,0,0,0,0,0,0
C185,Aapko 1 lakh rupaye ka interest-free loan mil sakta hai. Bas apna Aadhaar aur PAN number share karein.,Loan_Credit_Scam,"loan approved,rs,aadhaar,pan",0,0,0,0,0,0,0,0,1
C186,Congratulations! Your number has been selected in a lucky draw. Click here to claim your car.,Prize_Lottery_Scam,"won,claim prize,click link",0,0,1,0,0,0,0,0,1
C187,"We detected a suspicious login on your Gmail account. To secure it, please tell us your password.",Tech_Support_Scam,"gmail,login,password",0,1,0,0,1,1,1,0,1
C188,"This is a reminder for your mutual fund SIP payment of Rs. 3000, scheduled for tomorrow.",Legit_Call,rs,0,0,0,0,0,0,0,0,0
